bad,name,type,x_2d,y_2d
0,ch_0,grid,301,128
0,ch_1,grid,277,142
0,ch_2,grid,255,157
0,ch_3,grid,230,170
0,ch_4,grid,206,186
0,ch_5,grid,184,200
0,ch_6,grid,165,214
0,ch_7,grid,147,223
0,ch_8,grid,315,153
0,ch_9,grid,290,168
0,ch_10,grid,267,181
0,ch_11,grid,244,196
0,ch_12,grid,220,209
0,ch_13,grid,200,224
0,ch_14,grid,179,238
0,ch_15,grid,163,247
0,ch_16,grid,329,178
0,ch_17,grid,305,192
0,ch_18,grid,281,205
0,ch_19,grid,257,220
0,ch_20,grid,234,234
0,ch_21,grid,213,245
0,ch_22,grid,192,257
0,ch_23,grid,175,267
0,ch_24,grid,341,202
0,ch_25,grid,318,215
0,ch_26,grid,295,229
0,ch_27,grid,271,243
0,ch_28,grid,249,257
0,ch_29,grid,227,268
0,ch_30,grid,208,279
0,ch_31,grid,188,290
