,kind,phoneme
0,closures,sil
1,closures,dx
2,diphthongs,ey
3,diphthongs,aw
4,diphthongs,ay
5,diphthongs,oy
6,diphthongs,ow
7,fricatives,s
8,fricatives,sh
9,fricatives,z
10,fricatives,f
11,fricatives,th
12,fricatives,v
13,fricatives,dh
14,fricatives,h
15,nasals,m
16,nasals,n
17,nasals,ng
18,plosives,b
19,plosives,d
20,plosives,g
21,plosives,p
22,plosives,t
23,plosives,k
24,plosives,jh
25,plosives,ch
26,semi-vowels,l
27,semi-vowels,r
28,semi-vowels,er
29,semi-vowels,w
30,semi-vowels,y
31,vowels,iy
32,vowels,ih
33,vowels,eh
34,vowels,ae
35,vowels,aa
36,vowels,ah
37,vowels,uh
38,vowels,uw
